"fipp","0.6.25","Eclipse Public License"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"org.clojure/clojure","1.11.0","Eclipse Public License 1.0"
"org.clojure/core.rrb-vector","0.1.2","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.3.218","Eclipse Public License 1.0"
"org.clojure/test.check","1.1.1","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.62","Eclipse Public License 1.0"
"nrepl","0.8.3","Eclipse Public License"
"metosin/malli","0.8.4","Eclipse Public License 2.0"
"mvxcvi/arrangement","2.0.0","Public Domain"
"borkdude/edamame","0.0.19","Eclipse Public License 1.0"
"borkdude/dynaload","0.2.2","Eclipse Public License 1.0"
"org.clojure/tools.reader","1.3.4","Eclipse Public License 1.0"
